Temperature,Humidity,Moisture,Nitrogen,Phosphorus,Potassium,PH,Light_Intensity,Yield_Rate,Target_Disease
38.71,53.47,63.9,19.39,17.83,28.73,5.3,834.8,39.01,Root_Rot
23.75,91.79,20.67,14.99,40.58,30.03,5.56,247.0,34.24,Powdery_Mildew
13.62,94.32,59.3,20.71,34.83,12.46,6.15,370.2,40.97,Rust
39.54,73.89,20.9,10.74,37.41,30.63,7.09,860.5,43.08,Early_Blight
36.18,46.47,44.2,29.84,41.35,33.57,6.96,798.6,45.68,Healthy
26.91,27.28,53.03,12.26,34.67,20.28,6.83,622.5,47.99,Early_Blight
23.43,90.82,27.64,43.78,33.16,29.85,7.53,293.7,34.13,Powdery_Mildew
29.37,75.51,56.52,23.65,26.33,33.49,5.39,857.5,39.73,Root_Rot
19.86,92.05,58.22,16.06,18.12,17.82,6.9,566.0,36.9,Rust
39.9,65.85,44.55,24.81,45.22,27.26,5.59,358.0,35.1,Early_Blight
12.89,52.88,58.03,25.0,29.29,17.25,6.1,754.4,43.35,Healthy
37.84,95.26,22.12,24.08,41.33,35.9,6.2,638.8,41.13,Early_Blight
19.4,85.43,17.76,42.43,15.04,35.76,7.51,386.1,35.32,Healthy
26.63,85.37,56.7,45.14,13.41,46.43,7.54,766.9,50.07,Bacterial_Leaf_Spot
34.14,59.88,55.24,21.0,10.32,34.07,6.96,594.9,42.34,Healthy
27.91,73.49,20.34,17.18,21.26,9.52,7.87,861.9,31.16,Early_Blight
25.31,87.13,20.56,48.66,15.41,23.03,7.89,340.3,38.83,Powdery_Mildew
21.94,89.13,52.13,20.7,34.24,36.69,7.27,738.1,51.24,Rust
28.64,48.37,10.59,18.84,44.41,34.19,6.02,744.8,35.54,Healthy
24.22,88.75,11.3,36.58,12.54,43.27,7.17,309.1,40.96,Powdery_Mildew
29.98,28.34,51.72,29.95,35.19,16.44,5.45,971.4,40.59,Root_Rot
24.82,84.52,12.01,47.58,34.45,20.7,7.57,235.5,45.22,Powdery_Mildew
26.4,66.35,44.94,28.65,49.01,46.21,5.9,820.6,44.41,Early_Blight
41.52,79.01,42.16,21.33,24.71,35.7,8.1,284.2,38.96,Early_Blight
22.51,86.54,21.13,28.85,37.59,42.42,7.41,255.4,39.74,Powdery_Mildew
18.51,90.12,32.87,29.76,45.28,13.6,4.98,474.8,36.44,Healthy
16.95,57.59,47.3,47.76,20.89,20.07,6.42,413.6,41.57,Healthy
23.53,86.79,12.48,34.44,12.95,36.32,7.12,250.2,34.63,Powdery_Mildew
19.6,54.93,24.51,50.48,16.59,39.83,6.76,957.2,44.35,Healthy
24.96,92.56,8.95,33.58,39.9,23.74,5.35,950.0,49.18,Early_Blight
42.16,82.3,17.75,19.56,41.28,12.05,6.1,777.9,36.59,Early_Blight
14.8,40.96,56.34,36.6,38.43,48.42,5.42,303.7,41.78,Root_Rot
31.24,89.03,19.88,49.78,44.07,35.46,7.41,510.9,41.9,Bacterial_Leaf_Spot
20.42,89.79,34.33,35.19,17.11,35.44,6.17,244.3,37.07,Powdery_Mildew
22.72,34.86,11.2,23.34,28.49,20.84,5.15,756.5,27.52,Healthy
25.71,82.55,23.65,45.78,13.86,41.46,7.72,333.8,36.94,Powdery_Mildew
41.92,84.47,27.07,32.38,23.16,43.92,7.82,652.4,44.8,Early_Blight
19.3,87.01,48.26,21.36,43.93,39.97,5.98,861.5,41.18,Rust
19.07,84.88,60.64,23.41,48.3,16.9,7.69,485.0,57.46,Rust
20.79,27.18,57.62,36.44,31.51,28.91,5.47,755.9,33.65,Root_Rot
39.42,28.63,64.52,30.77,23.98,25.77,6.73,424.4,46.1,Healthy
20.16,84.84,36.31,45.65,28.07,15.2,5.73,232.4,34.1,Powdery_Mildew
34.02,81.26,11.48,48.81,18.87,32.19,7.42,434.0,35.82,Bacterial_Leaf_Spot
21.16,81.38,24.91,30.33,21.6,36.72,7.55,317.1,42.89,Powdery_Mildew
21.33,74.46,17.26,47.88,38.76,17.07,6.16,893.6,46.17,Healthy
20.74,84.47,59.13,35.07,35.13,38.67,5.76,372.8,36.36,Root_Rot
24.41,75.82,61.27,11.9,45.81,49.83,5.8,834.2,39.13,Early_Blight
40.49,67.74,27.01,16.89,22.68,20.6,6.62,254.8,35.51,Early_Blight
28.16,41.73,25.53,18.2,20.13,37.31,7.32,524.2,45.39,Healthy
22.38,90.15,52.71,26.87,27.36,33.0,6.21,967.3,44.24,Rust
25.88,81.05,31.78,19.47,25.6,41.74,5.23,240.7,29.59,Powdery_Mildew
31.61,80.77,24.34,33.82,31.0,31.23,7.96,354.1,44.93,Early_Blight
30.56,53.65,58.96,23.24,24.2,22.09,5.93,389.6,40.65,Healthy
24.59,89.93,65.25,50.25,34.46,34.85,7.88,736.4,56.14,Healthy
19.75,44.36,14.33,37.16,43.35,35.18,7.44,519.3,42.08,Healthy
19.24,91.48,54.09,19.1,22.88,12.84,6.86,520.7,41.01,Rust
31.81,95.3,46.25,25.69,43.26,41.67,7.1,549.7,51.19,Early_Blight
28.37,38.04,17.47,11.5,27.54,17.27,7.56,995.2,34.12,Healthy
25.93,87.74,42.66,36.83,13.55,44.39,8.04,323.7,49.79,Powdery_Mildew
21.53,87.85,42.52,43.74,13.67,30.04,6.72,268.2,42.48,Powdery_Mildew
30.2,73.48,40.24,32.1,44.56,27.42,5.13,704.7,39.88,Early_Blight
28.81,68.65,26.01,34.47,18.0,24.51,6.67,556.0,44.26,Early_Blight
14.21,33.86,52.84,27.86,34.26,18.45,6.66,266.4,39.1,Healthy
25.17,90.05,54.19,48.9,19.23,30.61,7.67,217.7,54.82,Powdery_Mildew
18.73,84.1,59.18,22.67,49.69,22.52,6.19,881.1,49.74,Rust
22.59,93.7,19.33,22.36,45.3,30.41,5.36,333.7,32.48,Powdery_Mildew
15.55,30.08,54.26,27.35,16.69,25.17,5.3,671.0,35.4,Root_Rot
22.1,27.22,53.83,45.58,45.29,46.84,5.24,703.4,43.91,Root_Rot
22.0,87.79,58.77,12.97,13.72,40.58,6.71,858.2,43.5,Rust
21.22,55.84,58.85,25.42,18.18,34.3,5.72,345.6,40.38,Root_Rot
18.0,25.41,55.86,11.72,37.42,49.45,7.21,340.5,40.04,Healthy
34.49,85.63,31.05,49.23,30.66,43.13,7.56,524.0,44.11,Bacterial_Leaf_Spot
21.37,84.35,34.41,38.32,34.59,42.73,6.09,258.3,39.9,Powdery_Mildew
40.22,52.95,20.94,42.36,43.87,33.9,7.12,900.6,41.79,Healthy
30.67,82.86,18.77,13.96,25.98,13.3,5.68,599.5,37.35,Early_Blight
38.46,53.44,64.96,21.41,20.76,26.2,5.26,821.3,45.85,Root_Rot
28.21,85.32,37.47,48.95,29.89,33.78,7.38,839.1,48.93,Bacterial_Leaf_Spot
34.99,86.53,30.02,15.07,27.24,16.61,5.25,258.8,34.06,Early_Blight
41.22,83.63,63.69,30.63,39.5,28.15,7.77,656.0,54.96,Early_Blight
39.81,91.2,52.92,39.99,17.88,19.82,5.32,396.4,35.76,Root_Rot
19.06,29.24,45.57,25.61,26.28,31.86,6.08,359.9,29.21,Healthy
33.47,87.42,28.42,49.76,32.55,41.32,7.53,508.1,48.42,Bacterial_Leaf_Spot
23.7,87.84,45.02,28.16,33.25,14.36,7.61,330.9,44.8,Powdery_Mildew
36.09,66.78,12.71,30.82,42.96,17.47,8.16,918.0,43.92,Early_Blight
33.25,85.91,14.65,49.32,35.82,14.22,7.68,222.4,35.21,Bacterial_Leaf_Spot
22.31,91.57,21.6,14.35,12.98,49.61,7.12,337.8,36.97,Powdery_Mildew
31.72,80.33,44.22,38.06,45.86,34.24,7.34,414.1,42.74,Bacterial_Leaf_Spot
39.27,47.73,31.2,24.26,26.47,19.87,7.63,595.7,35.55,Healthy
22.59,49.84,46.67,16.68,21.54,42.83,6.38,271.0,38.43,Healthy
12.78,60.56,57.43,15.95,32.48,36.11,6.47,309.7,42.72,Healthy
13.29,84.04,42.3,41.96,43.93,17.82,6.49,281.3,47.95,Healthy
13.63,46.87,17.38,27.43,25.37,42.3,6.82,824.4,38.42,Healthy
35.9,68.96,27.36,11.64,37.53,45.07,7.86,934.7,58.33,Early_Blight
25.6,91.15,58.01,46.95,27.14,45.73,7.75,229.5,52.77,Powdery_Mildew
22.49,90.47,51.46,23.62,25.74,32.3,6.07,944.2,50.29,Rust
35.55,59.82,57.41,23.7,26.88,21.31,7.46,909.2,48.44,Healthy
20.05,82.18,61.16,46.79,46.68,11.02,4.75,624.6,43.13,Root_Rot
29.37,76.48,59.6,35.62,14.08,46.81,7.14,417.5,36.67,Healthy
32.31,90.15,23.3,30.73,30.4,40.07,7.85,732.9,52.27,Early_Blight
37.39,94.55,36.61,18.27,32.77,32.72,5.33,425.0,36.77,Early_Blight
23.58,87.39,20.49,17.43,15.84,24.09,4.99,288.3,30.21,Powdery_Mildew
38.28,88.96,36.09,37.73,39.85,24.96,7.57,863.4,53.53,Bacterial_Leaf_Spot
17.99,79.72,64.68,48.99,38.26,15.46,5.37,240.5,37.82,Root_Rot
24.69,89.61,60.27,19.04,12.55,32.45,6.31,543.1,38.29,Early_Blight
23.38,81.21,49.25,15.71,46.75,40.96,6.31,349.2,35.89,Powdery_Mildew
32.36,61.49,19.84,36.18,15.93,30.07,7.12,572.1,34.45,Healthy
15.17,27.26,38.77,33.57,15.23,49.2,8.0,604.4,48.46,Healthy
23.61,95.77,22.78,20.22,22.78,20.56,4.96,937.1,40.0,Healthy
31.01,84.02,58.31,33.4,13.3,16.5,5.11,228.0,37.32,Root_Rot
30.32,83.61,37.24,32.46,32.85,29.19,8.19,995.8,59.25,Early_Blight
23.94,90.34,32.11,45.81,33.88,26.0,7.46,302.7,40.63,Powdery_Mildew
26.49,38.66,57.1,43.03,33.29,16.2,5.67,955.3,43.77,Root_Rot
24.79,83.39,32.91,48.09,35.85,29.65,7.17,329.9,44.42,Powdery_Mildew
15.64,93.35,56.78,17.53,37.91,32.5,5.13,945.9,43.99,Root_Rot
20.72,94.61,57.61,16.92,43.62,37.9,6.29,455.1,44.76,Rust
20.5,83.48,23.05,40.51,34.2,12.54,5.07,248.0,30.7,Powdery_Mildew
40.05,53.9,62.9,47.68,30.49,42.38,7.68,527.4,57.87,Healthy
39.35,31.11,30.66,11.26,24.62,14.66,5.09,864.7,29.52,Early_Blight
16.28,28.68,11.29,40.77,46.65,13.54,5.31,254.2,27.58,Healthy
37.76,66.5,34.26,31.14,11.83,21.76,6.79,553.7,36.96,Early_Blight
35.25,34.17,54.53,41.8,22.52,20.53,4.93,773.6,40.83,Root_Rot
27.04,23.47,45.97,22.33,12.19,43.8,5.25,503.4,32.86,Healthy
26.95,88.25,20.11,40.57,42.65,12.97,7.99,220.0,50.37,Bacterial_Leaf_Spot
25.53,62.19,40.26,20.85,18.84,24.03,5.61,580.4,34.11,Healthy
27.3,68.77,24.17,24.16,18.6,17.23,7.1,769.7,41.99,Early_Blight
21.95,87.63,59.26,35.62,46.24,20.97,7.24,892.8,50.29,Rust
15.1,26.45,33.16,37.88,25.67,37.44,4.98,800.9,41.11,Healthy
29.41,83.67,14.94,45.16,25.49,30.98,7.79,723.0,47.46,Bacterial_Leaf_Spot
33.03,74.85,29.94,24.88,47.26,26.36,6.62,507.0,44.55,Bacterial_Leaf_Spot
34.6,39.81,55.48,25.0,40.35,27.04,5.07,423.2,41.83,Root_Rot
37.71,68.8,38.07,30.94,32.38,44.9,6.14,491.4,41.84,Early_Blight
38.53,59.64,51.91,24.17,34.38,27.77,8.34,911.3,51.2,Healthy
33.73,91.1,40.12,14.49,20.31,22.35,5.94,977.0,37.15,Early_Blight
28.2,86.73,14.59,45.54,27.46,31.33,7.88,468.0,40.18,Bacterial_Leaf_Spot
31.39,83.88,14.03,48.35,39.01,14.25,7.66,236.0,47.27,Bacterial_Leaf_Spot
39.47,92.17,16.56,19.87,21.59,15.78,6.46,658.4,29.96,Early_Blight
18.94,55.62,55.91,28.01,30.23,45.3,6.11,528.5,43.05,Healthy
34.69,43.98,8.98,22.93,33.16,36.07,7.18,441.8,43.3,Healthy
21.04,86.86,42.27,23.35,16.02,27.53,7.28,272.7,34.41,Powdery_Mildew
31.54,84.21,54.06,45.46,13.62,44.32,7.47,826.0,51.96,Bacterial_Leaf_Spot
35.47,75.91,46.07,22.51,10.36,37.71,7.42,507.8,44.22,Early_Blight
42.37,89.04,9.47,13.48,26.31,36.57,7.61,688.2,37.15,Early_Blight
35.72,62.38,62.95,16.58,39.01,30.46,5.29,526.0,40.57,Root_Rot
20.63,93.34,47.43,41.65,15.44,33.66,6.87,230.6,46.46,Powdery_Mildew
29.41,80.5,44.38,27.82,14.66,13.79,6.31,322.4,35.89,Early_Blight
20.89,84.48,49.03,20.37,42.19,38.19,7.51,253.3,45.37,Powdery_Mildew
21.37,85.06,38.3,25.73,16.13,17.8,7.03,292.5,38.23,Powdery_Mildew
21.17,88.37,44.17,22.11,39.33,37.12,7.86,261.0,57.49,Powdery_Mildew
36.39,77.5,18.35,14.93,43.69,27.8,7.47,946.4,41.72,Early_Blight
31.19,63.15,13.24,13.6,16.84,48.16,6.99,961.9,38.98,Healthy
32.99,91.49,60.9,45.02,39.57,26.92,5.44,386.1,52.11,Root_Rot
17.72,28.24,55.85,30.11,22.47,23.4,5.59,751.6,37.33,Root_Rot
22.4,89.29,56.46,22.33,23.49,45.64,7.79,724.3,52.63,Rust
35.38,77.61,26.59,31.39,14.04,39.47,7.96,386.3,42.52,Early_Blight
27.7,88.76,24.97,45.01,38.53,28.82,7.86,693.6,48.61,Bacterial_Leaf_Spot
28.6,84.7,37.82,31.86,26.25,47.28,7.65,797.5,42.8,Early_Blight
39.13,74.19,52.24,28.92,41.89,26.37,6.46,579.7,50.26,Early_Blight
35.33,67.65,37.42,32.31,45.36,13.55,6.04,340.7,30.6,Root_Rot
28.6,90.31,16.44,37.27,41.92,44.34,4.83,736.9,37.27,Healthy
16.97,66.13,24.07,40.26,15.39,46.58,5.88,517.5,37.63,Healthy
16.25,88.99,34.59,11.73,31.55,18.98,4.98,420.3,32.16,Healthy
24.21,81.08,47.93,49.59,47.89,17.1,7.43,955.5,52.12,Healthy
24.03,85.8,61.38,23.24,34.93,39.91,5.78,867.9,55.05,Root_Rot
23.87,86.72,61.99,36.14,27.12,39.17,5.55,772.8,52.38,Root_Rot
30.93,93.47,16.08,15.12,23.2,13.18,6.58,999.1,37.23,Early_Blight
13.92,85.72,58.39,20.73,29.52,13.54,6.75,860.3,47.39,Rust
27.42,94.54,37.69,32.25,14.01,28.49,7.16,402.5,37.21,Early_Blight
26.52,77.35,59.7,25.3,48.56,27.47,6.98,706.7,53.9,Early_Blight
35.21,42.44,24.38,29.8,22.0,17.15,4.92,834.3,29.16,Healthy
27.02,88.37,33.56,43.31,20.89,13.02,6.9,903.6,43.98,Healthy
11.81,36.76,46.92,24.15,14.2,14.71,8.09,777.6,41.95,Healthy
29.32,66.81,45.89,26.43,21.57,22.94,6.51,880.2,46.37,Early_Blight
19.04,31.13,58.97,35.38,40.55,40.35,5.01,268.4,36.56,Root_Rot
34.02,33.68,33.25,47.18,22.79,17.18,6.21,537.5,27.09,Healthy
13.94,32.69,61.72,30.96,49.28,44.84,5.04,324.6,43.39,Root_Rot
17.71,63.7,26.8,32.85,14.1,19.51,6.7,544.1,39.45,Healthy
20.87,82.71,60.63,43.47,36.13,21.68,8.14,733.0,59.49,Rust
29.01,77.63,47.92,17.1,43.78,47.99,5.39,818.1,41.77,Early_Blight
23.06,93.72,55.72,47.58,32.74,37.69,6.84,558.7,47.34,Rust
31.4,29.06,25.13,27.78,49.6,46.54,7.06,725.5,45.46,Healthy
24.71,86.51,20.32,47.93,14.69,28.35,7.83,339.5,41.19,Powdery_Mildew
20.45,89.38,55.94,26.82,24.02,33.17,5.9,954.5,45.15,Rust
16.39,88.38,53.09,22.4,14.69,25.5,6.95,668.3,49.59,Rust
35.75,83.23,38.28,39.82,21.43,16.33,8.12,246.8,38.34,Bacterial_Leaf_Spot
21.79,63.21,52.16,15.93,27.39,46.84,5.65,331.4,36.77,Root_Rot
23.88,95.75,24.06,19.79,23.17,18.97,4.79,919.6,29.91,Healthy
19.73,50.68,59.25,25.72,20.83,37.21,5.58,443.5,43.34,Root_Rot
24.07,90.3,45.62,19.79,27.0,18.68,6.25,663.2,42.69,Early_Blight
27.77,47.95,49.15,29.99,42.56,41.13,7.63,994.6,44.76,Healthy
28.01,26.52,29.29,20.41,47.31,34.59,5.21,994.9,37.77,Healthy
30.46,92.44,39.94,46.43,25.61,32.54,7.45,722.6,44.04,Healthy
23.51,93.81,34.69,16.0,33.93,14.45,7.19,316.1,33.82,Powdery_Mildew
18.09,63.32,61.67,18.74,12.61,37.2,7.94,238.7,45.11,Healthy
20.39,84.59,22.85,39.89,35.13,13.14,5.19,238.6,34.37,Powdery_Mildew
19.93,56.28,32.01,43.5,36.56,11.48,5.81,383.3,38.4,Healthy
22.26,83.1,52.63,29.45,26.95,12.45,7.7,295.0,45.26,Powdery_Mildew
13.54,71.58,42.02,42.78,20.89,33.01,5.9,335.2,39.85,Healthy
37.77,29.64,31.26,15.84,23.36,38.3,5.83,556.1,36.12,Healthy
20.12,75.5,25.06,27.63,34.27,36.16,6.71,266.3,34.57,Healthy
27.47,39.91,20.23,41.89,43.46,44.18,6.27,463.7,35.34,Healthy
28.34,29.52,26.44,49.73,38.46,15.68,5.24,406.1,34.21,Healthy
18.85,57.22,61.2,19.77,19.51,24.32,5.08,324.8,34.56,Root_Rot
23.5,93.8,33.97,16.59,34.27,13.79,7.2,322.2,29.84,Powdery_Mildew
22.99,88.7,27.56,47.93,37.93,30.74,7.74,265.6,56.91,Powdery_Mildew
18.75,61.92,58.34,44.43,41.64,38.97,5.61,327.1,46.81,Root_Rot
29.43,75.62,33.09,30.8,48.03,17.09,5.94,820.0,40.17,Early_Blight
16.76,34.36,54.86,39.14,38.92,48.49,8.18,1003.9,56.99,Healthy
28.39,79.05,37.05,28.12,15.18,11.02,5.15,408.9,37.76,Early_Blight
40.96,60.46,12.09,16.45,30.2,28.56,7.84,617.5,40.94,Healthy
33.59,89.71,16.65,46.07,13.47,49.56,7.86,354.1,35.65,Bacterial_Leaf_Spot
21.74,89.91,51.87,14.97,35.77,20.42,6.46,815.8,43.59,Rust
23.5,92.6,35.07,50.32,10.83,33.42,5.69,246.1,34.99,Powdery_Mildew
18.65,87.21,25.22,25.84,13.58,47.26,5.58,852.1,43.97,Healthy
30.39,71.45,15.69,15.68,29.25,36.68,6.35,992.9,34.05,Early_Blight
21.88,91.28,43.83,22.65,16.53,34.43,7.67,254.0,42.74,Powdery_Mildew
17.32,89.83,51.1,49.55,26.04,15.87,6.85,492.3,44.52,Rust
35.05,76.11,48.87,24.62,16.0,15.9,7.86,924.8,50.43,Early_Blight
17.51,38.39,59.26,47.17,29.56,38.23,5.16,308.4,40.86,Root_Rot
33.69,84.4,23.88,34.66,28.27,48.4,7.74,910.5,51.43,Early_Blight
28.97,78.88,65.22,47.93,34.56,19.64,7.51,242.4,52.29,Bacterial_Leaf_Spot
16.4,66.61,59.31,48.23,24.65,32.75,5.69,238.2,45.29,Root_Rot
19.2,58.31,59.69,50.04,47.15,11.68,5.91,782.4,46.94,Healthy
28.73,68.39,14.41,24.09,15.48,11.88,5.69,421.4,27.07,Early_Blight
41.17,91.93,18.42,21.25,28.05,40.09,8.1,328.2,36.37,Early_Blight
26.62,76.76,59.97,31.19,27.24,31.02,5.95,573.5,45.06,Early_Blight
38.44,78.56,45.5,34.81,29.44,34.56,5.2,801.9,41.94,Early_Blight
37.45,89.88,35.02,23.47,13.12,31.18,7.71,725.9,44.65,Early_Blight
31.2,35.38,29.04,48.75,22.82,20.53,5.52,393.4,27.7,Healthy
30.44,52.64,38.11,12.46,9.55,23.62,5.02,643.1,32.21,Healthy
40.22,85.97,28.47,43.09,34.78,36.69,6.49,614.2,42.72,Rust
17.15,71.91,60.54,34.28,27.65,36.47,7.28,364.0,56.62,Healthy
27.85,73.01,49.53,14.32,12.68,15.3,5.5,289.0,29.57,Early_Blight
38.98,73.12,12.28,14.55,46.14,33.74,6.74,561.5,44.35,Powdery_Mildew
36.41,29.58,62.67,29.51,32.23,31.12,5.27,392.0,45.88,Root_Rot
40.8,91.29,65.09,27.91,46.95,14.91,6.64,301.1,46.17,Early_Blight
37.3,79.2,9.98,33.72,29.04,26.14,6.74,699.8,43.69,Early_Blight
21.59,83.39,54.99,13.37,26.48,32.75,6.26,244.2,34.32,Powdery_Mildew
30.16,43.04,49.08,33.31,10.42,37.55,7.85,277.0,44.32,Healthy
33.45,86.54,18.02,23.46,44.27,28.55,5.54,431.0,33.25,Healthy
33.58,89.61,50.13,13.29,34.34,44.57,6.34,312.2,42.06,Early_Blight
24.63,90.09,17.75,42.62,26.92,27.89,7.52,265.8,42.34,Powdery_Mildew
41.28,70.75,46.7,14.64,30.75,25.05,6.09,376.8,39.43,Early_Blight
22.0,84.01,57.25,32.01,21.92,25.61,7.62,779.9,51.24,Rust
14.64,88.82,53.12,41.49,47.72,11.41,6.02,344.5,41.97,Rust
32.83,79.76,20.54,47.14,48.6,21.88,7.42,853.9,39.13,Bacterial_Leaf_Spot
26.53,51.55,29.71,21.32,21.8,44.96,8.0,493.7,42.46,Healthy
29.32,45.52,17.8,24.63,32.36,12.89,7.07,763.2,34.51,Healthy
29.66,85.26,58.54,48.7,35.03,27.62,7.86,486.1,49.93,Bacterial_Leaf_Spot
22.02,93.0,19.66,46.5,29.45,34.61,7.47,329.5,42.73,Powdery_Mildew
17.45,59.43,60.05,41.92,21.81,37.45,5.12,958.5,43.42,Root_Rot
30.76,82.25,12.82,27.63,24.52,24.28,7.94,631.2,39.84,Early_Blight
25.6,78.0,55.9,43.36,33.49,47.05,5.54,700.2,56.38,Rust
31.65,73.89,50.85,19.8,30.44,21.83,8.11,493.0,47.05,Early_Blight
23.88,90.58,11.3,37.83,13.47,45.84,7.24,331.0,34.11,Powdery_Mildew
14.55,71.59,54.56,28.39,34.18,13.57,5.73,845.2,49.29,Root_Rot
32.85,90.07,52.37,31.01,30.17,19.36,5.87,575.7,39.58,Early_Blight
36.25,67.4,10.19,23.27,25.35,35.28,5.86,323.0,26.34,Early_Blight
36.85,59.55,28.31,17.16,24.75,13.66,5.84,282.5,33.0,Healthy
14.55,26.0,63.06,25.67,10.3,9.23,5.77,656.2,30.78,Root_Rot
23.06,89.68,52.32,41.04,43.94,18.08,8.08,516.9,54.16,Rust
18.44,90.91,51.14,29.25,50.87,33.66,8.17,387.2,54.26,Rust
36.37,71.98,38.64,41.83,49.5,48.35,5.84,226.0,41.95,Healthy
33.62,83.86,20.42,46.19,44.32,34.6,7.83,645.3,47.32,Bacterial_Leaf_Spot
21.42,87.23,38.29,38.96,15.13,34.39,6.52,246.2,40.34,Powdery_Mildew
30.21,84.79,58.59,45.87,38.84,24.86,8.06,441.2,53.39,Bacterial_Leaf_Spot
35.1,91.43,21.85,27.29,29.61,14.4,7.14,886.2,46.17,Early_Blight
25.46,36.44,52.5,39.38,44.55,38.79,6.74,373.4,48.16,Healthy
27.11,33.12,43.43,26.18,15.16,19.49,7.29,962.7,41.99,Healthy
25.34,89.12,49.95,47.77,25.68,40.48,7.67,204.0,47.37,Powdery_Mildew
38.71,68.16,51.07,35.93,17.36,13.44,5.59,577.2,41.12,Root_Rot
40.92,76.0,9.71,19.39,16.65,40.86,4.94,491.5,32.02,Early_Blight
29.67,77.94,15.92,20.74,42.05,44.65,7.04,291.6,40.13,Early_Blight
15.53,51.55,50.69,43.25,36.4,29.94,5.43,552.4,41.26,Root_Rot
19.85,76.58,18.19,37.15,37.44,31.06,6.35,584.9,37.14,Healthy
24.29,88.04,60.47,30.17,16.5,46.01,5.39,544.1,46.57,Root_Rot
37.39,50.39,58.58,18.9,27.13,35.83,4.9,508.8,40.44,Root_Rot
21.38,86.45,38.73,26.98,31.21,17.28,7.54,219.4,41.48,Early_Blight
13.5,48.76,63.34,36.39,26.03,38.13,5.65,497.6,43.59,Root_Rot
20.95,71.93,35.48,29.53,29.2,20.41,5.91,313.0,30.68,Healthy
22.59,83.2,50.1,15.29,18.4,25.53,5.68,280.4,35.39,Root_Rot
17.17,93.91,57.1,28.96,15.25,38.83,5.52,486.0,46.97,Root_Rot
30.39,70.57,51.98,33.65,17.91,42.76,6.99,488.6,44.07,Early_Blight
35.72,64.73,56.09,32.68,34.56,19.55,5.34,749.1,43.98,Root_Rot
23.44,74.33,62.44,41.83,38.21,23.54,5.66,956.5,42.98,Root_Rot
22.21,87.12,58.38,24.85,23.96,46.46,7.82,807.4,53.23,Rust
28.2,43.53,13.05,29.08,25.76,37.06,7.84,762.8,39.44,Healthy
30.76,88.14,10.24,46.37,35.06,17.76,7.66,617.0,55.0,Bacterial_Leaf_Spot
22.15,92.54,30.18,33.42,45.97,22.51,7.56,299.9,36.82,Powdery_Mildew
29.16,92.8,19.05,39.7,12.47,24.39,5.25,267.9,35.68,Healthy
28.58,60.02,40.6,14.07,24.37,47.85,6.68,231.9,46.14,Healthy
18.76,50.85,52.83,41.76,49.35,12.35,7.39,656.3,48.39,Healthy
24.73,86.6,42.7,48.61,47.03,19.6,7.77,259.6,43.8,Powdery_Mildew
21.47,27.51,61.78,33.23,35.91,13.09,6.17,859.1,36.81,Healthy
30.51,52.25,58.46,22.11,26.06,23.43,6.04,404.2,44.96,Root_Rot
17.85,53.2,60.2,27.57,20.79,29.18,5.35,961.5,40.92,Root_Rot
21.64,92.02,23.01,14.91,14.05,47.66,7.01,303.8,39.96,Powdery_Mildew
21.03,88.04,55.98,26.62,17.33,13.16,7.34,933.8,52.36,Rust
21.67,79.44,21.82,34.77,34.95,36.2,6.66,563.1,33.04,Healthy
34.32,82.42,39.75,43.28,13.66,22.31,5.77,687.7,38.99,Healthy
31.12,83.79,47.26,11.36,29.62,48.51,7.82,836.6,50.47,Early_Blight
30.31,78.1,18.4,27.51,29.52,21.86,6.12,620.5,39.35,Rust
17.21,74.25,57.67,40.8,46.59,25.71,7.96,428.6,52.05,Healthy
19.04,91.97,53.04,12.68,42.19,24.02,6.73,836.8,43.63,Rust
22.57,41.72,42.82,31.98,26.77,31.24,5.6,949.6,44.01,Healthy
34.53,85.8,58.43,46.18,10.11,50.22,4.78,801.9,44.74,Root_Rot
21.87,65.98,51.8,46.19,17.5,26.68,5.06,721.3,38.45,Root_Rot
14.74,25.67,49.54,48.95,23.17,33.2,7.94,818.2,48.46,Healthy
31.33,91.1,29.95,27.19,14.02,33.17,4.87,608.8,33.44,Early_Blight
34.3,75.69,40.11,30.75,24.6,42.59,5.58,440.1,36.62,Early_Blight
24.15,69.41,57.56,38.75,36.17,46.97,5.71,687.0,50.37,Root_Rot
35.05,37.64,51.8,37.68,32.31,36.29,7.66,907.6,49.43,Healthy
26.52,94.1,51.82,21.76,44.87,27.23,4.83,619.0,39.96,Root_Rot
33.67,89.35,52.4,24.79,30.45,32.84,8.18,602.2,48.47,Early_Blight
23.72,82.64,42.36,45.25,34.05,48.66,6.11,312.6,44.85,Powdery_Mildew
27.31,62.83,18.6,50.22,28.79,18.48,7.4,836.8,30.08,Healthy
23.11,84.08,55.28,28.25,24.65,13.28,7.31,283.8,36.91,Powdery_Mildew
39.82,79.36,53.89,30.8,37.16,24.57,5.03,682.3,51.17,Root_Rot
25.86,86.56,61.48,45.64,41.54,26.87,7.64,430.8,57.36,Bacterial_Leaf_Spot
21.5,45.39,49.64,33.61,40.12,16.87,6.59,698.4,46.26,Healthy
21.84,89.94,56.58,18.21,16.79,22.88,7.17,439.3,45.87,Rust
22.93,83.2,63.25,39.53,38.9,36.03,6.6,257.0,50.52,Powdery_Mildew
26.6,44.26,9.62,21.56,14.67,31.77,5.0,371.2,22.43,Healthy
